cell_line,condition,score,type,label
PANC-1,OE3,0.069756515,real,negative
Hela,WT3,0.5449711,real,negative
Hela,KO3,0.2771048,real,negative
PANC-1,OE3,0.181782,real,negative
PANC-1,OE2,0.003126027,real,negative
PANC-1,OE3,0.11374934,real,negative
PANC-1,WT2,0.6492198,real,negative
Hela,KO2,0.6296913,real,negative
PANC-1,WT3,0.015166663,real,negative
PANC-1,WT3,0.018474665,real,negative
PANC-1,OE2,0.043392837,real,negative
Hela,KO1,0.69438356,real,negative
PANC-1,OE2,0.08419577,real,negative
Hela,WT1,0.005990361,real,negative
Hela,KO3,0.2249935,real,negative
PANC-1,OE2,0.11389375,real,negative
Hela,KO2,0.87111425,real,negative
Hela,WT3,0.1679326,real,negative
Hela,WT3,0.73838013,real,negative
Hela,KO2,0.001052523,real,negative
Hela,WT1,0.013119296,real,negative
Hela,KO1,0.20885001,real,negative
Hela,KO3,0.1709459,real,negative
PANC-1,WT2,0.1233098,real,negative
Hela,KO2,0.8445064,real,negative
Hela,WT2,0.77431554,real,negative
Hela,KO2,0.31392917,real,negative
PANC-1,WT2,0.003127727,real,negative
Hela,WT3,0.5185008,real,negative
PANC-1,OE3,0.010275613,real,negative
PANC-1,WT2,0.021135593,real,negative
Hela,KO3,0.18041381,real,negative
PANC-1,OE3,0.006065854,real,negative
Hela,KO3,0.63367605,real,negative
PANC-1,OE3,0.005767821,real,negative
PANC-1,WT3,0.07873269,real,negative
PANC-1,OE1,0.035428274,real,negative
Hela,KO2,0.95986605,real,positive
PANC-1,OE1,0.01564674,real,negative
Hela,KO1,0.015070696,real,negative
PANC-1,WT1,0.02583291,real,negative
PANC-1,WT1,0.09289065,real,negative
Hela,KO1,0.7540295,real,negative
Hela,WT3,0.105330884,real,negative
Hela,WT3,0.09099159,real,negative
PANC-1,WT3,0.002496493,real,negative
Hela,KO1,0.111439675,real,negative
Hela,KO3,0.23267527,real,negative
Hela,KO3,0.46858785,real,negative
Hela,WT1,0.70745414,real,negative
Hela,KO2,0.73105055,real,negative
Hela,WT2,0.28834078,real,negative
Hela,KO3,0.2203582,real,negative
PANC-1,OE1,0.016833238,real,negative
PANC-1,OE1,0.5054539,real,negative
Hela,WT3,0.6663222,real,negative
Hela,KO2,0.28376678,real,negative
Hela,WT3,0.06592404,real,negative
Hela,KO3,0.35164073,real,negative
Hela,KO2,0.027254123,real,negative
PANC-1,OE1,0.020376852,real,negative
PANC-1,WT1,0.00464065,real,negative
Hela,WT2,0.95107865,real,positive
Hela,KO3,0.3586855,real,negative
PANC-1,WT3,0.15751474,real,negative
Hela,WT2,0.055181984,real,negative
Hela,KO2,0.23501846,real,negative
Hela,KO2,0.038011502,real,negative
PANC-1,OE3,0.07103021,real,negative
Hela,KO1,0.32758486,real,negative
PANC-1,OE2,0.020158572,real,negative
PANC-1,WT1,0.16059172,real,negative
Hela,WT2,0.7628328,real,negative
Hela,WT2,0.07546384,real,negative
PANC-1,OE2,0.005899343,real,negative
Hela,WT2,0.26471323,real,negative
PANC-1,OE1,0.009705191,real,negative
PANC-1,OE2,0.014847738,real,negative
Hela,KO2,0.018933132,real,negative
PANC-1,OE3,0.029579824,real,negative
PANC-1,WT3,0.019984718,real,negative
PANC-1,WT1,0.029189173,real,negative
Hela,KO1,0.1966543,real,negative
PANC-1,OE2,0.007255456,real,negative
Hela,KO1,0.14254281,real,negative
PANC-1,WT2,0.001720622,real,negative
PANC-1,WT1,0.05804092,real,negative
Hela,KO3,0.01359111,real,negative
Hela,WT3,0.9584029,real,negative
Hela,WT3,0.56579304,real,negative
PANC-1,OE1,0.1199347,real,negative
PANC-1,WT1,0.07013252,real,negative
Hela,WT3,0.985939,real,positive
PANC-1,WT1,0.004048033,real,negative
PANC-1,WT1,0.07442988,real,negative
Hela,KO1,0.00615062,real,negative
Hela,WT3,0.057670128,real,negative
Hela,KO3,0.11033497,real,negative
PANC-1,WT3,0.058293402,real,negative
Hela,WT1,0.16235347,real,negative
Hela,WT2,0.34779024,real,negative
PANC-1,WT1,0.001219328,real,negative
PANC-1,OE2,0.004578724,real,negative
